Profile_1             Profile_2             Profile_3             Profile_4             Profile_5             Profile_6             
x       y           x       y           x       y           x       y           x       y           x       y           
3.9077944e-08  -5.4037085e-08            3.9205405e-08  -5.4632757e-08            3.9118471e-08  -5.5201251e-08            3.915455e-08  -5.4303861e-08            3.9102217e-08  -5.4350384e-08            3.8798208e-08  -5.4929368e-08            
3.9859503e-08  -5.4011066e-08            3.9989513e-08  -5.4590574e-08            3.9900841e-08  -5.5169155e-08            3.9937641e-08  -5.4270509e-08            3.9884261e-08  -5.4650465e-08            3.9574172e-08  -5.4866529e-08            
4.0641061e-08  -5.3978307e-08            4.0773621e-08  -5.4546641e-08            4.068321e-08  -5.5105255e-08            4.0720732e-08  -5.4295311e-08            4.0666305e-08  -5.4773774e-08            4.0350136e-08  -5.4869155e-08            
4.142262e-08  -5.3958727e-08            4.1557729e-08  -5.4508508e-08            4.146558e-08  -5.5056297e-08            4.1503823e-08  -5.456065e-08            4.144835e-08  -5.4758351e-08            4.11261e-08  -5.4840351e-08            
4.2204179e-08  -5.392167e-08            4.2341837e-08  -5.4517415e-08            4.2247949e-08  -5.5005462e-08            4.2286915e-08  -5.4654834e-08            4.2230394e-08  -5.4614021e-08            4.1902064e-08  -5.4782327e-08            
4.2985738e-08  -5.3886466e-08            4.3125945e-08  -5.4481289e-08            4.3030319e-08  -5.4976844e-08            4.3070006e-08  -5.4651638e-08            4.3012438e-08  -5.4488835e-08            4.2678028e-08  -5.4701214e-08            
4.3767297e-08  -5.3856404e-08            4.3910053e-08  -5.4438224e-08            4.3812688e-08  -5.4943683e-08            4.3853097e-08  -5.4922777e-08            4.3794483e-08  -5.4409741e-08            4.3453993e-08  -5.4674439e-08            
4.4548856e-08  -5.3819747e-08            4.4694162e-08  -5.4413477e-08            4.4595057e-08  -5.4917277e-08            4.4636188e-08  -5.5002161e-08            4.4576527e-08  -5.4351666e-08            4.4229957e-08  -5.4530733e-08            
4.5330415e-08  -5.3801579e-08            4.547827e-08  -5.4385448e-08            4.5377427e-08  -5.4878092e-08            4.5419279e-08  -5.5610766e-08            4.5358571e-08  -5.4522597e-08            4.5005921e-08  -5.447243e-08            
4.6111973e-08  -5.3780648e-08            4.6262378e-08  -5.4334449e-08            4.6159796e-08  -5.4814174e-08            4.620237e-08  -5.5636225e-08            4.6140616e-08  -5.4944e-08            4.5781885e-08  -5.4565733e-08            
4.6893532e-08  -5.3739586e-08            4.7046486e-08  -5.4329208e-08            4.6942166e-08  -5.4820835e-08            4.6985461e-08  -5.5616226e-08            4.692266e-08  -5.5281503e-08            4.6557849e-08  -5.4739621e-08            
4.7675091e-08  -5.3711508e-08            4.7830594e-08  -5.4278308e-08            4.7724535e-08  -5.4786466e-08            4.7768552e-08  -5.5546686e-08            4.7704704e-08  -5.5603721e-08            4.7333813e-08  -5.4815574e-08            
4.845665e-08  -5.3689238e-08            4.8614702e-08  -5.4246932e-08            4.8506905e-08  -5.4756253e-08            4.8551643e-08  -5.5506888e-08            4.8486749e-08  -5.5952601e-08            4.8109778e-08  -5.5203524e-08            
4.9238209e-08  -5.3658802e-08            4.939881e-08  -5.4211919e-08            4.9289274e-08  -5.472412e-08            4.9334734e-08  -5.547633e-08            4.9268793e-08  -5.5991325e-08            4.8885742e-08  -5.5135416e-08            
5.0019768e-08  -5.3624833e-08            5.0182918e-08  -5.4159198e-08            5.0071643e-08  -5.4666748e-08            5.0117825e-08  -5.542071e-08            5.0050837e-08  -5.5946823e-08            4.9661706e-08  -5.5126383e-08            
5.0801327e-08  -5.3599825e-08            5.0967026e-08  -5.409785e-08            5.0854013e-08  -5.4636987e-08            5.0900916e-08  -5.535576e-08            5.0832882e-08  -5.5870367e-08            5.043767e-08  -5.5087525e-08            
5.1582886e-08  -5.3566734e-08            5.1751134e-08  -5.4093619e-08            5.1636382e-08  -5.460161e-08            5.1684007e-08  -5.5322364e-08            5.1614926e-08  -5.5849758e-08            5.1213634e-08  -5.5106884e-08            
5.2364444e-08  -5.3540576e-08            5.2535243e-08  -5.4126861e-08            5.2418752e-08  -5.4552747e-08            5.2467098e-08  -5.5276346e-08            5.239697e-08  -5.5788863e-08            5.1989598e-08  -5.5058687e-08            
5.3146003e-08  -5.3521529e-08            5.3319351e-08  -5.4071166e-08            5.3201121e-08  -5.4512616e-08            5.3250189e-08  -5.5258265e-08            5.3179015e-08  -5.5776279e-08            5.2765562e-08  -5.5016283e-08            
5.3927562e-08  -5.3481122e-08            5.4103459e-08  -5.4068038e-08            5.3983491e-08  -5.4482044e-08            5.403328e-08  -5.5222776e-08            5.3961059e-08  -5.5715275e-08            5.3541527e-08  -5.507766e-08            
5.4709121e-08  -5.345118e-08            5.4887567e-08  -5.4024305e-08            5.476586e-08  -5.4471656e-08            5.4816371e-08  -5.5182713e-08            5.4743103e-08  -5.5677992e-08            5.4317491e-08  -5.5442391e-08            
5.549068e-08  -5.3426167e-08            5.5671675e-08  -5.3998812e-08            5.5548229e-08  -5.4437385e-08            5.5599462e-08  -5.5095814e-08            5.5525148e-08  -5.5644423e-08            5.5093455e-08  -5.5843616e-08            
5.6272239e-08  -5.3406007e-08            5.6455783e-08  -5.3966217e-08            5.6330599e-08  -5.443109e-08            5.6382553e-08  -5.5085799e-08            5.6307192e-08  -5.5617593e-08            5.5869419e-08  -5.6311414e-08            
5.7053798e-08  -5.3386288e-08            5.7239891e-08  -5.392761e-08            5.7112968e-08  -5.4417917e-08            5.7165644e-08  -5.5081196e-08            5.7089236e-08  -5.5586699e-08            5.6645383e-08  -5.6353914e-08            
5.7835357e-08  -5.3357121e-08            5.8023999e-08  -5.3869291e-08            5.7895338e-08  -5.4383373e-08            5.7948735e-08  -5.5053539e-08            5.7871281e-08  -5.5521759e-08            5.7421347e-08  -5.6305281e-08            
5.8616915e-08  -5.3327713e-08            5.8808107e-08  -5.3865252e-08            5.8677707e-08  -5.4358393e-08            5.8731826e-08  -5.5015002e-08            5.8653325e-08  -5.5498052e-08            5.8197312e-08  -5.6263728e-08            
5.9398474e-08  -5.3296013e-08            5.9592215e-08  -5.3822785e-08            5.9460077e-08  -5.4301815e-08            5.9514917e-08  -5.4962915e-08            5.9435369e-08  -5.5450325e-08            5.8973276e-08  -5.6236018e-08            
6.0180033e-08  -5.3262166e-08            6.0376324e-08  -5.3789284e-08            6.0242446e-08  -5.4277509e-08            6.0298008e-08  -5.4941913e-08            6.0217414e-08  -5.5423194e-08            5.974924e-08  -5.6230575e-08            
6.0961592e-08  -5.3237339e-08            6.1160432e-08  -5.3764896e-08            6.1024815e-08  -5.4248064e-08            6.1081099e-08  -5.4898872e-08            6.0999458e-08  -5.5392764e-08            6.0525204e-08  -5.6182662e-08            
6.1743151e-08  -5.3209668e-08            6.194454e-08  -5.3730324e-08            6.1807185e-08  -5.4213444e-08            6.186419e-08  -5.4849062e-08            6.1781502e-08  -5.5352867e-08            6.1301168e-08  -5.6141302e-08            
6.252471e-08  -5.3178094e-08            6.2728648e-08  -5.3681201e-08            6.2589554e-08  -5.4148246e-08            6.2647281e-08  -5.4820473e-08            6.2563547e-08  -5.5311455e-08            6.2077132e-08  -5.607467e-08            
6.3306269e-08  -5.3147163e-08            6.3512756e-08  -5.3663256e-08            6.3371924e-08  -5.413705e-08            6.3430372e-08  -5.4793306e-08            6.3345591e-08  -5.5293039e-08            6.2853096e-08  -5.6045746e-08            
6.4087828e-08  -5.3120423e-08            6.4296864e-08  -5.3641123e-08            6.4154293e-08  -5.4109781e-08            6.4213463e-08  -5.4757614e-08            6.4127635e-08  -5.5249091e-08            6.3629061e-08  -5.6000717e-08            
6.4869386e-08  -5.308802e-08            6.5080972e-08  -5.3593184e-08            6.4936663e-08  -5.4073246e-08            6.4996554e-08  -5.470657e-08            6.490968e-08  -5.5223299e-08            6.4405025e-08  -5.5958619e-08            
6.5650945e-08  -5.3046134e-08            6.586508e-08  -5.35499e-08            6.5719032e-08  -5.4020208e-08            6.5779645e-08  -5.4665277e-08            6.5691724e-08  -5.5163375e-08            6.5180989e-08  -5.5904835e-08            
6.6432504e-08  -5.3010825e-08            6.6649188e-08  -5.3528227e-08            6.6501401e-08  -5.4009738e-08            6.6562736e-08  -5.4619315e-08            6.6473768e-08  -5.5120036e-08            6.5956953e-08  -5.5874455e-08            
6.7214063e-08  -5.2986394e-08            6.7433296e-08  -5.350461e-08            6.7283771e-08  -5.3989378e-08            6.7345827e-08  -5.4592569e-08            6.7255813e-08  -5.5065174e-08            6.6732917e-08  -5.5845994e-08            
6.7995622e-08  -5.2955636e-08            6.8217404e-08  -5.3463513e-08            6.806614e-08  -5.3953143e-08            6.8128918e-08  -5.4569562e-08            6.8037857e-08  -5.4999662e-08            6.7508881e-08  -5.5821187e-08            
6.8777181e-08  -5.2927698e-08            6.9001513e-08  -5.3425639e-08            6.884851e-08  -5.3919593e-08            6.8912009e-08  -5.4504959e-08            6.8819901e-08  -5.4970164e-08            6.8284846e-08  -5.5782143e-08            
6.955874e-08  -5.2899978e-08            6.9785621e-08  -5.3401272e-08            6.9630879e-08  -5.3892249e-08            6.96951e-08  -5.4487543e-08            6.9601946e-08  -5.4937754e-08            6.906081e-08  -5.5733164e-08            
7.0340299e-08  -5.286507e-08            7.0569729e-08  -5.3372497e-08            7.0413249e-08  -5.3858337e-08            7.0478191e-08  -5.4450717e-08            7.038399e-08  -5.4906064e-08            6.9836774e-08  -5.5700535e-08            
7.1121857e-08  -5.2834567e-08            7.1353837e-08  -5.3323561e-08            7.1195618e-08  -5.3836123e-08            7.1261282e-08  -5.4405668e-08            7.1166034e-08  -5.4879168e-08            7.0612738e-08  -5.5655587e-08            
7.1903416e-08  -5.2803822e-08            7.2137945e-08  -5.3306061e-08            7.1977987e-08  -5.3798421e-08            7.2044373e-08  -5.4373055e-08            7.1948079e-08  -5.4825222e-08            7.1388702e-08  -5.5626694e-08            
7.2684975e-08  -5.278029e-08            7.2922053e-08  -5.3278269e-08            7.2760357e-08  -5.3762402e-08            7.2827464e-08  -5.4332694e-08            7.2730123e-08  -5.4817906e-08            7.2164666e-08  -5.5608055e-08            
7.3466534e-08  -5.2754513e-08            7.3706161e-08  -5.3248367e-08            7.3542726e-08  -5.3730284e-08            7.3610555e-08  -5.4297575e-08            7.3512167e-08  -5.4788087e-08            7.2940631e-08  -5.5565826e-08            
7.4248093e-08  -5.2722669e-08            7.4490269e-08  -5.3210204e-08            7.4325096e-08  -5.3692308e-08            7.4393646e-08  -5.4255788e-08            7.4294212e-08  -5.4769378e-08            7.3716595e-08  -5.5532285e-08            
7.5029652e-08  -5.2699215e-08            7.5274377e-08  -5.3194534e-08            7.5107465e-08  -5.3638157e-08            7.5176737e-08  -5.4240974e-08            7.5076256e-08  -5.4708809e-08            7.4492559e-08  -5.5501094e-08            
7.5811211e-08  -5.2677481e-08            7.6058485e-08  -5.3146426e-08            7.5889835e-08  -5.3617047e-08            7.5959828e-08  -5.4208935e-08            7.58583e-08  -5.4664441e-08            7.5268523e-08  -5.5467345e-08            
7.659277e-08  -5.2641303e-08            7.6842594e-08  -5.3123253e-08            7.6672204e-08  -5.3608675e-08            7.6742919e-08  -5.4168353e-08            7.6640345e-08  -5.4625004e-08            7.6044487e-08  -5.5420969e-08            
7.7374328e-08  -5.260244e-08            7.7626702e-08  -5.3098805e-08            7.7454573e-08  -5.358047e-08            7.752601e-08  -5.4137711e-08            7.7422389e-08  -5.4600371e-08            7.6820451e-08  -5.5392288e-08            
7.8155887e-08  -5.2564047e-08            7.841081e-08  -5.3070134e-08            7.8236943e-08  -5.3542756e-08            7.8309101e-08  -5.4097772e-08            7.8204433e-08  -5.4544973e-08            7.7596415e-08  -5.5356729e-08            
7.8937446e-08  -5.2528778e-08            7.9194918e-08  -5.3048417e-08            7.9019312e-08  -5.3519294e-08            7.9092192e-08  -5.4066244e-08            7.8986478e-08  -5.4506118e-08            7.837238e-08  -5.5324866e-08            
7.9719005e-08  -5.2502897e-08            7.9979026e-08  -5.3018504e-08            7.9801682e-08  -5.3492708e-08            7.9875283e-08  -5.4035966e-08            7.9768522e-08  -5.4453739e-08            7.9148344e-08  -5.527962e-08            
8.0500564e-08  -5.2475434e-08            8.0763134e-08  -5.2990206e-08            8.0584051e-08  -5.3449003e-08            8.0658374e-08  -5.4001723e-08            8.0550566e-08  -5.4411066e-08            7.9924308e-08  -5.5231281e-08            
8.1282123e-08  -5.2439768e-08            8.1547242e-08  -5.2951847e-08            8.1366421e-08  -5.3405046e-08            8.1441465e-08  -5.3961257e-08            8.1332611e-08  -5.4381536e-08            8.0700272e-08  -5.5203825e-08            
8.2063682e-08  -5.2410377e-08            8.233135e-08  -5.2924308e-08            8.214879e-08  -5.3372145e-08            8.2224556e-08  -5.3947501e-08            8.2114655e-08  -5.4350355e-08            8.1476236e-08  -5.5170399e-08            
8.284524e-08  -5.2391995e-08            8.3115458e-08  -5.2866605e-08            8.2931159e-08  -5.3374227e-08            8.3007647e-08  -5.390949e-08            8.2896699e-08  -5.4310016e-08            8.22522e-08  -5.5120689e-08            
8.3626799e-08  -5.2359459e-08            8.3899566e-08  -5.2837962e-08            8.3713529e-08  -5.3385762e-08            8.3790738e-08  -5.387137e-08            8.3678744e-08  -5.426916e-08            8.3028165e-08  -5.5086391e-08            
8.4408358e-08  -5.2324876e-08            8.4683675e-08  -5.2810729e-08            8.4495898e-08  -5.3351151e-08            8.4573829e-08  -5.3835172e-08            -          -              -          -              
8.5189917e-08  -5.2298039e-08            8.5467783e-08  -5.2757049e-08            8.5278268e-08  -5.3292417e-08            8.535692e-08  -5.3770658e-08            -          -              -          -              
8.5971476e-08  -5.2267902e-08            8.6251891e-08  -5.2731584e-08            8.6060637e-08  -5.3299852e-08            -          -              -          -              -          -              
8.6753035e-08  -5.2241238e-08            8.7035999e-08  -5.2693507e-08            8.6843007e-08  -5.3264867e-08            -          -              -          -              -          -              
8.7534594e-08  -5.2224483e-08            8.7820107e-08  -5.267149e-08            -          -              -          -              -          -              -          -              
8.8316153e-08  -5.2192653e-08            8.8604215e-08  -5.2661954e-08            -          -              -          -              -          -              -          -              
8.9097711e-08  -5.2152289e-08            8.9388323e-08  -5.2609871e-08            -          -              -          -              -          -              -          -              
8.987927e-08  -5.2122741e-08            -          -              -          -              -          -              -          -              -          -              
9.0660829e-08  -5.2091223e-08            -          -              -          -              -          -              -          -              -          -              
9.1442388e-08  -5.2051149e-08            -          -              -          -              -          -              -          -              -          -              
9.2223947e-08  -5.2016153e-08            -          -              -          -              -          -              -          -              -          -              
9.3005506e-08  -5.1978922e-08            -          -              -          -              -          -              -          -              -          -              
